 报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-09-30,2005-06-30, 
 支付利息、手续费及佣金的现金(万元),19671400,14694100,9981700,4817500,17130500,12476800,8314100,3809900,15651900,10273500,7142600,3543000,15309400,11362600,7563000,3632300,14127800,10297300,7000000,3659600,11937900,8385400,5325800,2454100,10839100,8066400,5055400,2621000,8284000,5746100,3714000,1966500,4993400,3509600,2299200,1183600,4718200,3531400,2273500,1263200,4133400,2973400,1819900,889700,3302900,--,--,20700,--,0,28100,--,0,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,0,--,--,--,0,--,0,--,--,0,--, 
 支付给职工以及为职工支付的现金(万元),2900500,2227400,1668500,1133300,2696600,2107500,1561800,1031300,2554500,1927900,1412600,952300,2431900,1836200,1336500,929000,2419000,1822000,1332400,924000,2371400,1737700,1237100,852300,2087000,1669700,1173200,783000,1790500,1343700,942400,631200,1422400,1056500,739400,483300,1161500,879500,637500,428800,1101100,817000,579400,360500,842000,596800,411500,0,660000,470600,--,--,0,--, 
 支付的各项税费(万元),3196500,1595800,1567100,666000,2765100,2189400,1495000,491100,3370900,2526600,1823400,673700,3305600,2430200,1688600,810700,3132300,2395300,1569800,531900,3419500,2581300,1729900,668100,2919100,2262100,1555400,358100,2407500,1759300,1115200,345300,1712900,1243700,819000,458500,1478700,1095800,648700,272500,1495600,1303800,653300,232700,980600,774800,515800,34100,765900,531700,155700,7500,800,3800, 
 支付的其他与经营活动有关的现金(万元),4060100,5600300,5885300,4342400,14451600,8238800,7620400,5931500,8697600,8997000,8188800,4967900,5525900,7296000,10201700,6591200,10632300,7902800,6182500,4055100,9351300,6915800,5423500,3526600,6468400,7805000,4652700,3082700,3878500,4880500,3359300,8886900,11781900,12622400,11402600,9897300,4003900,4249700,7537400,6809400,11689700,4095900,9201600,4515200,5288000,11916600,14140100,0,3375200,2484100,--,--,0,--, 
 经营活动现金流出小计(万元),83113300,59682600,51184000,47318200,92925900,78068100,66239900,48972500,90457000,76673400,58580300,31836900,79490000,78691700,64112800,42804100,59768100,55675100,50542100,23180500,75459200,57347100,48261100,41611900,70967500,60664100,46621700,27689400,76808100,50452000,44073100,25581500,73196400,59541300,44866900,31462100,70947600,65626400,57511500,40071200,46226100,35483300,32287400,15674700,38150100,37333000,40582900,0,22674900,18465000,--,--,0,--, 
 经营活动产生的现金流量净额(万元),12389200,12628800,7620700,1392000,1072700,2866900,4615000,4725400,48506600,14180200,22600200,-2031400,37912200,30333400,35594700,7702500,4971500,-724600,-1024100,-6174500,13918300,11530400,6632800,1157400,7660400,5157100,19635200,4366700,-114600,1759700,1042000,-2399200,-2416700,-5792900,-2314800,-5259000,7374700,8573400,9979500,-548700,19333100,9144300,5191600,2260400,2101800,12481300,-892500,-5081700,16284300,5367400,5940400,489700,3275300,910900, 
 收回投资所收到的现金(万元),54295400,57634400,42782100,9484500,35505300,26322800,17697300,8711800,54603600,45090400,40871500,11338500,33005200,23442300,18262300,4604200,46843200,25243400,17852300,7243700,23422900,20214100,13621100,5776600,26587000,20405300,13115000,4368900,24335200,20013500,14041800,7533400,33704600,27621300,17371000,6608600,52742700,237099100,159357900,50854200,238705500,165837900,82546400,34197500,86026600,57826700,36730900,7288800,44059600,31713700,22670500,10891900,22801300,--, 
 取得投资收益所收到的现金(万元),8167300,6304800,4224500,1740900,8039700,6224600,4240300,1717000,6202100,4967400,3207500,1377100,4724700,3741500,2376000,1046700,4145800,4223200,2118200,1010200,3218100,2492000,1537600,726400,2746900,2115400,1393100,633000,2465800,1990100,1235700,428500,2451000,1836300,1169600,409400,2194400,1526600,987900,418000,1410200,823700,548700,239000,446100,759000,311900,0,750100,646000,--,12503900,0,14502800, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),74500,102100,30200,24000,111100,61400,43200,8000,243200,131700,8200,6500,57000,141100,40300,24500,45400,59600,36200,12200,79300,13400,26000,5000,98300,76000,24000,10700,61500,37900,24600,16600,30600,20500,13200,11400,52700,15700,7900,5300,16700,37400,45400,26500,49300,15500,20800,4700,145000,13000,82100,13900,60800,30800, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,0,--,--,--,0,--,0,--,--,0,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,0,--,--,--,0,--,0,--,--,0,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,0,--,--,--,0,--,0,--,--,0,--, 
 投资活动现金流入小计(万元),62537200,64041300,47036800,11249400,43656100,32608800,21980800,10436800,61048900,50189500,44087200,12722100,37786900,27324900,20678600,5675400,51034400,29526200,20006700,8266100,26720300,22719500,15184700,6508000,29432200,22596700,14532100,5012600,26862500,22041500,15302100,7978500,36186200,29478100,18553800,7029400,54989800,238641400,160353700,51277500,240132400,166699000,83140500,34463000,86523100,58602300,37063600,0,44954700,32372700,22752600,--,0,--, 
