 报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-06-30,2005-12-31,2005-06-30,2004-12-31,2003-12-31, 
 递延所得税资产减少(万元),-818800,-441100,-314300,-104900,-931200,-194700,-41800,149200,147900,636600,553400,317200,-386900,187900,119800,146000,-767300,114400,39600,13300,197200,153400,102100,96200,-28400,228300,--,-27300,-172200,118600,206500,-63300,-88500,--,-11500,133800,-427200,-670200,43700,249900,-853900,-399400,-48200,15500,-555800,44500,-12000,16700,2500,-74200,1017100,982300,--,0, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-72100,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,1978800,1108600, 
 存货的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 经营性应收项目的减少(万元),-94279800,-112185200,-98397800,-49587100,-150183000,-118427400,-117504000,-71866700,-179525200,-146528000,-108668000,-74439100,-121046700,-95756900,-79756700,-43910300,-163006500,-127784500,-98252000,-54201700,-155272000,-128178400,-89773600,-47491900,-151838300,-112181600,-73149200,-58181100,-167893400,-159531000,-116615500,-54582400,-142145000,-105679300,-74360200,-49366100,-166850400,-158525300,-181958300,-139052000,-84502200,-76312600,-61904900,-34994700,-94918900,-71813400,-52651300,-29792800,-53975400,-24581100,-29905200,-25266800,-41552300,-39047800, 
 经营性应付项目的增加(万元),115246600,159889400,89993300,41615100,182418600,154558500,127779600,70914300,165798300,146555200,119418500,84952400,197166000,141343200,167970900,85123800,148511100,107757600,122437700,70171300,121968500,109448400,86397200,71223900,175567800,177673200,140099900,90647600,177466000,156751300,126890400,81407900,150491600,153537100,113033000,73001700,192126900,181428200,167190800,121457900,102460500,69969200,71608400,40701900,112720200,106307000,78140300,37552900,83850900,53337800,59513200,35914500,45616100,48270400, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 经营活动产生现金流量净额(万元),72413300,88290200,18653200,6216000,77086400,71679600,34654200,10930600,23922100,28380300,29763200,19961400,113176400,75263000,108384900,51829500,20145700,7668900,41809100,24799100,-194700,6983100,14272400,32302100,53350800,88370400,82102500,39973200,34812300,17068100,23749100,33153200,27817600,62785600,48347700,28457800,40386200,34219600,-6726500,-13268100,37091300,8024300,19613200,10959400,29612900,43732100,31415900,10616900,38227100,32929000,36749400,14992200,12076400,16088400, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 现金的期末余额(万元),7004700,7554700,6666800,7616200,7521400,7973100,7676500,7828900,8457200,8211100,7776300,8535400,8522600,9499800,8528600,9263200,8871400,8517400,8469000,8361100,8091300,8166200,7489900,7838600,7606000,6988000,6408600,6156500,6014500,6194900,5778800,6145500,4892400,5482800,4904000,4923500,3884200,4596400,4445300,4574200,4002500,4212800,4290400,4326300,3912300,3826000,3745500,3740900,3144600,3175600,3008500,3148900,2989400,2958500, 
 现金的期初余额(万元),7521400,7521400,7521400,7521400,8457200,8457200,8457200,8457200,8522600,8522600,8522600,8522600,8871400,8871300,8871300,8871300,8091300,8091300,8091300,8091300,7606000,7606000,7606000,7606000,6014500,6014500,6014500,6014500,4892400,4892400,4892400,4892400,3884200,3884200,3884200,3884200,4002500,4002500,4002500,4002500,3912300,3912300,3912300,3912300,3144600,3144600,3144600,3144600,3008500,3008500,2989400,2989400,2958500,2827700, 
 现金等价物的期末余额(万元),143947600,180897600,145415500,138660800,144511600,151988800,138092500,107018200,110479600,128090600,125375400,136000800,135607200,101904200,162620300,133948500,90555000,73714500,112017700,109078500,87648900,92099500,105679300,131666100,112558700,145038300,154325500,113631200,78816300,60391800,88300300,89713300,48004700,79304900,65565200,72578700,37055200,54040500,36518000,44551900,56726600,31444800,26363300,23927900,26256400,38914700,29197100,20557800,24391400,43496400,26433900,26573600,13812500,21303500, 
 现金等价物的期初余额(万元),144511600,144511600,144511600,144511600,110479600,110479600,110479600,110479600,135607200,135607200,135607200,135607200,90555000,90555100,90555100,90555000,87648900,87648900,87648900,87648900,112558700,112558700,112558700,112558700,78816300,78816300,78816300,78816300,48004700,48004700,48004700,48004700,37055200,37055200,37055200,37055200,56726600,56726600,56726600,56726600,26256400,26256400,26256400,26256400,24391400,47534800,47534800,47534800,24712700,26433900,13812500,13812500,21303500,18535200, 
 现金及现金等价物的净增加额(万元),-1080700,36419300,49300,-5756000,33096200,41025100,26832200,-4089700,-25193000,-7828100,-10978100,406400,44703400,11977600,71722500,43785400,3686200,-13508300,24746500,21699400,-24424500,-19899000,-6995500,19340000,35333900,67195500,75903300,34956900,31933700,13689600,41182000,42961700,11957700,43848300,29529800,36562800,-19789700,-2092200,-19765800,-11603000,30560400,5488900,485000,-1914500,2632700,-7938700,-17736800,-26380700,-185200,17229600,12640500,12920600,-7460100,2899100, 

